name,score_type,score
The Owl's Nest Studio Apt,rating,5.0
The Artist Retreat~$375 Free Activities Daily,rating,4.94
"""The Birdhouse"" Eclectic Mountain Vibes w/ a view",rating,4.97
Victoria's Cottage in the Paris of the South,rating,4.88
Large Windows Overlooking Historic Church Street,rating,4.75
"Unique & Cozy Arden Cabin, 6 Mi to Blue Ridge Pkwy",rating,4.45
Downtown Asheville Condo-King Bed-Full Kitchen,rating,4.95
Entire House with Fenced in Yard in Asheville,rating,4.97
Blue Ridge Mountain Cottage-Epic Mountain View,rating,5.0
"Asheville-Biltmore 15 min, View, Hot Tub, 3 kings",rating,4.89
"The Hidden Gem in Asheville, NC.",rating,5.0
Beer City Room - Heart of West Asheville,rating,4.69
The Blue Door ~ entire house,rating,4.92
"4BR Home Minutes to Downtown, RAD & Biltmore",rating,4.82
Creekside ~ w/HOTTUB~  8 miles to downtown Ashe NC,rating,4.78
CC's Cabin with Hot Tub,rating,4.97
Modern Biltmore Village Guest Suite,rating,4.99
Charming 3/2 Dog friendly home near Asheville,rating,4.84
The Charming Chalet with Gorgeous Mountain Views,rating,4.95
Lofts at Woolworth in downtown Asheville NC! #204,rating,4.97
NY Style-STR 3 mi to Mission & 1 Mi to Downtown,rating,5.0
West Asheville Blue Mountains Bedroom!,rating,4.92
Country Chic House with a Hot Tub Near Downtown Asheville,rating,4.97
The Owl's Nest Studio Apt,cleanliness,5.0
The Artist Retreat~$375 Free Activities Daily,cleanliness,4.88
"""The Birdhouse"" Eclectic Mountain Vibes w/ a view",cleanliness,4.91
Victoria's Cottage in the Paris of the South,cleanliness,4.93
Large Windows Overlooking Historic Church Street,cleanliness,4.89
"Unique & Cozy Arden Cabin, 6 Mi to Blue Ridge Pkwy",cleanliness,4.11
Downtown Asheville Condo-King Bed-Full Kitchen,cleanliness,5.0
Entire House with Fenced in Yard in Asheville,cleanliness,5.0
Blue Ridge Mountain Cottage-Epic Mountain View,cleanliness,4.99
"Asheville-Biltmore 15 min, View, Hot Tub, 3 kings",cleanliness,4.63
"The Hidden Gem in Asheville, NC.",cleanliness,5.0
Beer City Room - Heart of West Asheville,cleanliness,4.66
The Blue Door ~ entire house,cleanliness,4.92
"4BR Home Minutes to Downtown, RAD & Biltmore",cleanliness,4.83
Creekside ~ w/HOTTUB~  8 miles to downtown Ashe NC,cleanliness,4.77
CC's Cabin with Hot Tub,cleanliness,4.98
Modern Biltmore Village Guest Suite,cleanliness,4.99
Charming 3/2 Dog friendly home near Asheville,cleanliness,4.89
The Charming Chalet with Gorgeous Mountain Views,cleanliness,4.96
Lofts at Woolworth in downtown Asheville NC! #204,cleanliness,4.99
NY Style-STR 3 mi to Mission & 1 Mi to Downtown,cleanliness,5.0
West Asheville Blue Mountains Bedroom!,cleanliness,4.81
Country Chic House with a Hot Tub Near Downtown Asheville,cleanliness,4.99
The Owl's Nest Studio Apt,location,4.98
The Artist Retreat~$375 Free Activities Daily,location,4.75
"""The Birdhouse"" Eclectic Mountain Vibes w/ a view",location,4.99
Victoria's Cottage in the Paris of the South,location,4.81
Large Windows Overlooking Historic Church Street,location,4.91
"Unique & Cozy Arden Cabin, 6 Mi to Blue Ridge Pkwy",location,4.68
Downtown Asheville Condo-King Bed-Full Kitchen,location,5.0
Entire House with Fenced in Yard in Asheville,location,4.54
Blue Ridge Mountain Cottage-Epic Mountain View,location,4.98
"Asheville-Biltmore 15 min, View, Hot Tub, 3 kings",location,4.91
"The Hidden Gem in Asheville, NC.",location,4.89
Beer City Room - Heart of West Asheville,location,4.83
The Blue Door ~ entire house,location,4.91
"4BR Home Minutes to Downtown, RAD & Biltmore",location,4.95
Creekside ~ w/HOTTUB~  8 miles to downtown Ashe NC,location,4.8
CC's Cabin with Hot Tub,location,4.88
Modern Biltmore Village Guest Suite,location,4.96
Charming 3/2 Dog friendly home near Asheville,location,4.98
The Charming Chalet with Gorgeous Mountain Views,location,4.92
Lofts at Woolworth in downtown Asheville NC! #204,location,4.98
NY Style-STR 3 mi to Mission & 1 Mi to Downtown,location,5.0
West Asheville Blue Mountains Bedroom!,location,4.73
Country Chic House with a Hot Tub Near Downtown Asheville,location,4.75
The Owl's Nest Studio Apt,value,4.97
The Artist Retreat~$375 Free Activities Daily,value,4.94
"""The Birdhouse"" Eclectic Mountain Vibes w/ a view",value,4.96
Victoria's Cottage in the Paris of the South,value,4.83
Large Windows Overlooking Historic Church Street,value,4.58
"Unique & Cozy Arden Cabin, 6 Mi to Blue Ridge Pkwy",value,4.32
Downtown Asheville Condo-King Bed-Full Kitchen,value,5.0
Entire House with Fenced in Yard in Asheville,value,4.9
Blue Ridge Mountain Cottage-Epic Mountain View,value,4.96
"Asheville-Biltmore 15 min, View, Hot Tub, 3 kings",value,4.8
"The Hidden Gem in Asheville, NC.",value,5.0
Beer City Room - Heart of West Asheville,value,4.73
The Blue Door ~ entire house,value,4.89
"4BR Home Minutes to Downtown, RAD & Biltmore",value,4.63
Creekside ~ w/HOTTUB~  8 miles to downtown Ashe NC,value,4.69
CC's Cabin with Hot Tub,value,4.94
Modern Biltmore Village Guest Suite,value,4.93
Charming 3/2 Dog friendly home near Asheville,value,4.82
The Charming Chalet with Gorgeous Mountain Views,value,4.89
Lofts at Woolworth in downtown Asheville NC! #204,value,4.83
NY Style-STR 3 mi to Mission & 1 Mi to Downtown,value,5.0
West Asheville Blue Mountains Bedroom!,value,4.92
Country Chic House with a Hot Tub Near Downtown Asheville,value,4.91
