name,n_reviews,first_review,last_review,n_reviews_per_month
The Owl's Nest Studio Apt,494,2018-12-15,2025-06-15,6.23
The Artist Retreat~$375 Free Activities Daily,16,2023-04-09,2025-03-31,0.6
"""The Birdhouse"" Eclectic Mountain Vibes w/ a view",67,2022-06-30,2024-01-28,1.85
Asheville Walkable Modern Haven,0,,,
Victoria's Cottage in the Paris of the South,69,2020-07-17,2024-03-05,1.15
Large Windows Overlooking Historic Church Street,57,2021-05-17,2025-03-16,1.15
West Asheville Haven,0,,,
Remodeled 1BR | Deck | Washer/Dryer,0,,,
"Unique & Cozy Arden Cabin, 6 Mi to Blue Ridge Pkwy",38,2020-12-06,2023-01-05,0.69
Downtown Asheville Condo-King Bed-Full Kitchen,20,2024-12-08,2025-06-11,3.13
Entire House with Fenced in Yard in Asheville,39,2024-02-07,2025-06-05,2.35
Blue Ridge Mountain Cottage-Epic Mountain View,101,2022-10-20,2025-06-12,3.12
"Asheville-Biltmore 15 min, View, Hot Tub, 3 kings",46,2023-03-19,2025-06-08,1.68
Cozy Downtown Apartment,0,,,
Newly Built 6BR Net Zero Home 5 mins to Biltmore,0,,,
"The Hidden Gem in Asheville, NC.",35,2022-09-16,2025-05-28,1.04
Beer City Room - Heart of West Asheville,402,2017-04-09,2024-04-28,4.03
The Blue Door ~ entire house,141,2020-11-29,2025-05-25,2.55
"Stunning, Light filled, 3-4 BR 3 Bath Luxury Home",0,,,
"4BR Home Minutes to Downtown, RAD & Biltmore",60,2022-09-19,2025-06-01,1.79
Creekside ~ w/HOTTUB~  8 miles to downtown Ashe NC,345,2018-07-15,2025-05-21,4.09
CC's Cabin with Hot Tub,64,2023-06-11,2025-04-28,2.6
Modern Biltmore Village Guest Suite,557,2018-10-14,2024-06-03,6.85
Charming 3/2 Dog friendly home near Asheville,44,2021-12-26,2024-10-29,1.04
Affordable Stay: 3 Rooms w/ Kitchen & Breakfast,0,,,
The Charming Chalet with Gorgeous Mountain Views,304,2017-10-09,2025-06-02,3.25
Lofts at Woolworth in downtown Asheville NC! #204,164,2021-01-03,2025-06-15,3.02
NY Style-STR 3 mi to Mission & 1 Mi to Downtown,9,2022-06-27,2025-03-31,0.25
West Asheville Blue Mountains Bedroom!,91,2022-01-01,2025-05-10,2.16
Country Chic House with a Hot Tub Near Downtown Asheville,475,2018-05-14,2025-06-02,5.5
